,grid,obstacle,goal_dist,start_dist,wall_dist,center_dist,lateralized,dVGC,sVGC
64,grid-010-l,obs-4,5,13,3,5,1,0.009109671909472622,4.539786870243182e-05
65,grid-010-l,obs-5,10,14,4,6,1,0.15902782720091088,0.006683551228315971
66,grid-011-l,obs-0,6,4,1,3,1,0.5512513710240301,1.0
67,grid-011-l,obs-1,8,2,4,6,1,0.24952637351680101,1.0
68,grid-011-l,obs-2,15,8,3,5,1,0.008275999601156636,4.539786870243439e-05
69,grid-011-l,obs-3,1,8,4,6,1,0.8302921527570042,1.0
70,grid-011-l,obs-4,9,13,3,5,1,0.008824409213281476,4.539786870243439e-05
71,grid-011-l,obs-5,13,5,1,3,1,0.009821517598962999,4.539786870243439e-05
72,grid-000-n,obs-0,3,8,2,4,0,0.9132729477212763,1.0
73,grid-000-n,obs-1,15,1,3,5,0,0.13012623921260952,1.0
74,grid-000-n,obs-2,14,3,2,4,0,0.41395050281720275,1.0
75,grid-000-n,obs-3,6,7,3,5,0,0.007203480493545396,4.539786870243696e-05
76,grid-000-n,obs-4,2,10,4,6,0,0.7779758933029036,1.0
77,grid-000-n,obs-5,9,4,4,6,0,0.006490264603095355,4.539786870243696e-05
78,grid-001-n,obs-0,8,7,3,5,0,0.006982997918112401,4.539786870243439e-05
79,grid-001-n,obs-1,9,6,6,8,0,0.008154059680777223,4.539786870243439e-05
80,grid-001-n,obs-2,6,9,1,3,0,0.5102359472588462,1.0
81,grid-001-n,obs-3,14,1,3,5,0,0.33991151977793094,1.0
82,grid-001-n,obs-4,1,14,4,6,0,0.7670454545454515,1.0
83,grid-001-n,obs-5,12,4,1,3,0,0.2633587786259533,1.0
84,grid-002-n,obs-0,5,5,1,3,0,0.4287301283279057,1.0
85,grid-002-n,obs-1,8,2,4,6,0,0.009768243631488214,4.53978687024344e-05
86,grid-002-n,obs-2,16,11,4,6,0,0.009078720551618452,4.53978687024344e-05
87,grid-002-n,obs-3,7,15,3,5,0,0.5162612526335941,0.9239083968742429
88,grid-002-n,obs-4,1,8,4,6,0,0.04152461214326756,0.0003458072610155121
89,grid-002-n,obs-5,13,8,1,3,0,0.3709634169699284,1.0
90,grid-003-n,obs-0,7,4,2,4,0,0.6008583690987118,1.0000000000000002
91,grid-003-n,obs-1,11,1,4,6,0,0.009904258831297464,4.539786870243441e-05
92,grid-003-n,obs-2,2,10,1,3,0,0.28095080884780466,1.0000000000000002
93,grid-003-n,obs-3,6,10,3,5,0,0.145042368218334,0.006686704600476205
94,grid-003-n,obs-4,1,12,3,5,0,0.8383955100693292,0.4995376194491805
95,grid-003-n,obs-5,5,5,2,4,0,0.010124353471992965,4.539786870243442e-05
96,grid-004-n,obs-0,7,5,2,4,0,0.3886547632250185,1.0
97,grid-004-n,obs-1,10,2,3,5,0,0.3602084950648767,1.0
98,grid-004-n,obs-2,3,13,2,4,0,0.008927581235444147,4.539786870243438e-05
99,grid-004-n,obs-3,6,12,3,5,0,0.008983032050571126,4.539786870243438e-05
100,grid-004-n,obs-4,1,15,4,6,0,0.010036597537983782,4.539786870243439e-05
101,grid-004-n,obs-5,5,7,2,4,0,0.7118775646001998,0.9999544338687503
102,grid-005-n,obs-0,8,2,4,6,0,0.12386330606651982,0.9999999999999999
103,grid-005-n,obs-1,14,8,4,6,0,0.01582028817007847,0.0005524403786411971
104,grid-005-n,obs-2,7,9,1,3,0,0.5219449404143999,0.9999999999999999
105,grid-005-n,obs-3,2,4,2,4,0,0.00967487439272515,4.539786870243439e-05
106,grid-005-n,obs-4,13,7,3,5,0,0.2800315575302078,0.4993938179951366
107,grid-005-n,obs-5,4,2,1,3,0,0.4515633434372791,0.9999999999999999
108,grid-006-n,obs-0,12,11,3,5,0,0.009407858328721624,4.570068805445641e-05
109,grid-006-n,obs-1,15,6,4,6,0,0.028095866502064606,0.0067298000366388605
110,grid-006-n,obs-2,4,3,1,3,0,0.40066408411732113,1.0
111,grid-006-n,obs-3,2,6,3,5,0,0.8476863479630476,1.0
112,grid-006-n,obs-4,7,11,3,5,0,0.5290111106381157,0.99990888667328
113,grid-006-n,obs-5,11,2,3,5,0,0.009322719339321429,4.570068805445641e-05
114,grid-007-n,obs-0,10,7,3,5,0,0.009208983102384783,4.539786870243439e-05
115,grid-007-n,obs-1,2,6,3,5,0,0.00977368489639895,4.539786870243439e-05
116,grid-007-n,obs-2,3,12,2,4,0,0.7692107206463664,1.0
117,grid-007-n,obs-3,10,2,5,7,0,0.008036140914816909,4.539786870243439e-05
118,grid-007-n,obs-4,9,9,2,4,0,0.476043612353938,1.0
119,grid-007-n,obs-5,6,3,1,3,0,0.4334303462056384,1.0
120,grid-008-n,obs-0,2,4,1,3,0,0.5005157389293958,1.0
121,grid-008-n,obs-1,2,8,4,6,0,0.20462386626355958,0.006683551228315594
122,grid-008-n,obs-2,7,13,3,5,0,0.007576027031833529,4.5397868702434395e-05
123,grid-008-n,obs-3,10,8,2,4,0,0.28682198114885216,1.0
124,grid-008-n,obs-4,6,1,4,6,0,0.1494575849190819,1.0
125,grid-008-n,obs-5,8,11,1,3,0,0.5559665658900926,1.0
126,grid-009-t,obs-0,3,6,1,3,0,0.45540351578106314,1.0
127,grid-009-t,obs-1,2,10,4,6,0,0.00943867359168998,4.539786870243439e-05
128,grid-009-t,obs-2,7,13,5,7,0,0.009738314023172207,4.539786870243439e-05
129,grid-009-t,obs-3,8,5,2,4,0,0.3095785057930486,1.0
130,grid-009-t,obs-4,6,3,4,6,0,0.007441070715141831,4.539786870243439e-05
131,grid-009-t,obs-5,3,9,1,3,0,0.7877047542948468,1.0
132,grid-010-n,obs-0,14,7,4,6,0,0.026392241908424974,0.0001346649729464145
133,grid-010-n,obs-1,4,4,1,3,0,0.3444494455583282,0.9999999999999999
134,grid-010-n,obs-2,1,7,4,6,0,0.8941446049347307,0.9999999999999999
135,grid-010-n,obs-3,7,13,3,5,0,0.5976922132656785,0.9932375502642286
136,grid-010-n,obs-4,10,2,3,5,0,0.00883833217398418,0.006728790432521272
137,grid-010-n,obs-5,12,12,2,4,0,0.007979049879291274,4.539584420253271e-05
138,grid-011-n,obs-0,8,9,3,5,0,0.01039019963702359,4.539786870243439e-05
139,grid-011-n,obs-1,10,6,1,3,0,0.36361161524500873,1.0
140,grid-011-n,obs-2,6,9,4,6,0,0.41506352087114284,1.0
141,grid-011-n,obs-3,1,16,4,6,0,0.7602540834845726,1.0
142,grid-011-n,obs-4,14,2,4,6,0,0.10403811252268605,4.539786870243439e-05
143,grid-011-n,obs-5,4,13,1,3,0,0.08806715063520869,1.0
