,grid,obstacle,side,Quad,goal_dist,start_dist,wall_dist,center_dist,lateralized,dVGC,Moves,sVGC,heu_graph,heu_sr,heu_traj,new_sVGC,new_dVGC,spotlightsVGC,VORsVGC
42,grid-007-l,obs-0,L,L,9,4,1,3,1,0.434938715,17,1,4.71,1.968769688,20.265,0.999988613,0.425281664,1,1
43,grid-007-l,obs-1,L,L,14,1,6,8,1,0.179026866,17,0.999954452,0,0,0,0.999977226,0.306982791,0.840689954,0.9987255
44,grid-007-l,obs-2,R,L,8,10,2,4,1,0.01083323,17,4.54E-05,0,0,0.024,4.54E-05,0.011359416,2.11E-08,4.15E-06
45,grid-007-l,obs-3,R,U,2,13,3,5,1,0.01009038,17,4.54E-05,0,0,0,4.54E-05,0.01009038,2.29E-08,3.79E-06
46,grid-007-l,obs-4,L,U,3,9,3,5,1,0.65222236,17,1,3.5,0.885751045,12.912,1,0.543580538,1,1
47,grid-007-l,obs-5,R,L,7,5,1,3,1,0.011885601,17,4.54E-05,0,0,1.497,4.54E-05,0.011359416,3.13E-06,0.000552554
48,grid-008-l,obs-0,L,L,5,6,3,5,1,0.635067712,15,0.999996261,2.24,0.599615371,2.229,0.750009481,0.410406272,0.075625431,0.923909018
49,grid-008-l,obs-1,R,L,1,13,1,3,1,0.011047755,15,4.54E-05,0,0,0,4.54E-05,0.011760513,2.95E-11,6.36E-08
50,grid-008-l,obs-2,L,L,2,11,4,6,1,0.012972202,15,4.54E-05,0,0,0,0.250033115,0.168014968,4.37E-09,7.93E-06
51,grid-008-l,obs-3,L,U,10,3,4,6,1,0.358517463,15,1,3.82,1.812518125,5.745,0.999998131,0.496792588,1,1
52,grid-008-l,obs-4,R,U,10,10,4,6,1,0.010477548,15,4.54E-05,0,0,0,4.54E-05,0.011225945,1.98E-13,3.67E-10
53,grid-008-l,obs-5,R,L,5,14,2,4,1,0.011974341,15,4.54E-05,0,0,0,4.54E-05,0.011368496,1.05E-12,2.10E-09
54,grid-009-l,obs-0,R,U,2,14,4,6,1,0.366040534,21,0.100731367,0.8,0,0.82,0.053708656,0.279189323,1.16E-05,0.002189194
55,grid-009-l,obs-1,R,L,12,9,4,6,1,0.008502224,21,4.54E-05,0,0,0,4.54E-05,0.008502224,7.49E-11,2.31E-07
56,grid-009-l,obs-2,L,U,5,6,1,3,1,0.325605536,21,1,4,1.500015,54.627,0.999999923,0.277941176,1,1
57,grid-009-l,obs-3,L,L,8,1,2,4,1,0.256846268,21,0.999999692,6,1.00001,48.953,0.999999692,0.256846268,0.993270433,0.999954453
58,grid-009-l,obs-4,L,U,4,9,5,7,1,0.203707365,21,1,1,0,12.695,1,0.264656451,1,1
59,grid-009-l,obs-5,R,U,6,14,4,6,1,0.192338112,21,0.006685945,0.45,0,0.491,0.028537164,0.189804746,3.24E-07,0.000501714
60,grid-010-l,obs-0,L,U,2,9,1,3,1,0.011227315,14,4.54E-05,0,0,0,0.500017025,0.191976867,0.999759677,0.999758014
61,grid-010-l,obs-1,R,L,13,2,4,6,1,0.012919102,14,4.54E-05,1.03,0,2,0.250028375,0.013151714,1.30E-08,1.93E-06
62,grid-010-l,obs-2,L,L,7,5,2,4,1,0.465856659,14,1,7,1.484389844,39.328,1,0.541891734,1,1
63,grid-010-l,obs-3,R,L,10,6,1,3,1,0.0131498,14,4.54E-05,0.11,0,1.552,0.250028375,0.012828793,0.000240348,0.000245723
64,grid-010-l,obs-4,L,U,2,9,1,3,1,0.011688711,14,4.54E-05,4.51,3.00003,16.184,0.875002838,0.456361555,1,1
65,grid-010-l,obs-5,R,U,4,9,3,5,1,0.011458013,14,4.54E-05,0,0,0,0.250028375,0.012814115,5.82E-08,8.64E-06
