,grid,obstacle,goal_dist,start_dist,wall_dist,center_dist,lateralized,dVGC,Moves,sVGC
115,grid-007-n,obs-1,2,9,5,7,0,0.009213452548450025,23,4.5397868702433094e-05
116,grid-007-n,obs-2,6,8,2,4,0,0.5364680252348739,23,1.0
117,grid-007-n,obs-3,9,3,5,7,0,0.00980347660327687,23,4.5397868702433094e-05
118,grid-007-n,obs-4,13,5,3,5,0,0.27440657196024093,23,1.0
119,grid-007-n,obs-5,5,5,1,3,0,0.354377524622157,23,1.0
120,grid-008-n,obs-0,5,7,1,3,0,0.25761384228678336,18,1.0
121,grid-008-n,obs-1,2,11,4,6,0,0.009586718887005321,18,4.539786870243439e-05
122,grid-008-n,obs-2,3,8,3,5,0,0.01081428654936576,18,4.539786870243439e-05
123,grid-008-n,obs-3,9,3,3,5,0,0.21745484304670595,18,1.0
124,grid-008-n,obs-4,8,3,4,6,0,0.00847606243058397,18,4.539786870243439e-05
125,grid-008-n,obs-5,6,6,1,3,0,0.6167066113286954,18,1.0
126,grid-009-n,obs-0,7,3,1,3,0,0.2762247071352505,16,1.0
127,grid-009-n,obs-1,3,8,5,7,0,0.009518104366347181,16,4.539786870243439e-05
128,grid-009-n,obs-2,4,10,5,7,0,0.008320021299254528,16,4.539786870243439e-05
129,grid-009-n,obs-3,8,3,2,4,0,0.3408546325878596,16,1.0
130,grid-009-n,obs-4,10,3,4,6,0,0.008785942492012786,16,4.539786870243439e-05
131,grid-009-n,obs-5,2,5,1,2,0,0.7947284345047936,16,1.0
132,grid-010-n,obs-0,8,6,4,6,0,0.1095127610208814,18,0.006687202836818363
133,grid-010-n,obs-1,12,3,1,3,0,0.12012761020881645,18,0.9999999999999997
134,grid-010-n,obs-2,8,4,2,4,0,0.011136890951276098,18,4.539786870243439e-05
135,grid-010-n,obs-3,1,9,3,5,0,0.3087587006960563,18,0.9999999999999997
136,grid-010-n,obs-4,14,2,3,5,0,0.010672853828306262,18,4.539786870243439e-05
137,grid-010-n,obs-5,4,8,3,5,0,0.13010440835266793,18,0.9999999999999997
138,grid-011-n,obs-0,9,1,3,5,0,0.011217849395723574,17,4.539786870243441e-05
139,grid-011-n,obs-1,7,10,3,5,0,0.013263092655717382,17,4.539786870243441e-05
140,grid-011-n,obs-2,3,11,3,5,0,0.5960334676169807,17,0.9239936327929815
141,grid-011-n,obs-3,2,6,4,6,0,0.010969941121784937,17,4.539786870243441e-05
142,grid-011-n,obs-4,10,6,4,6,0,0.11688875116207018,17,0.006687503369547861
143,grid-011-n,obs-5,7,3,1,3,0,0.3160830492717693,17,1.0000000000000002
